dataset,publishTime,startTime,settlementDate,settlementPeriod,fuelType,generation
FUELHH,2026-06-15T15:00:00Z,2026-06-15T14:30:00Z,2026-06-15,32,COAL,0
FUELHH,2026-06-15T15:00:00Z,2026-06-15T14:30:00Z,2026-06-15,32,INTELEC,996
FUELHH,2026-06-15T15:00:00Z,2026-06-15T14:30:00Z,2026-06-15,32,INTEW,-466
FUELHH,2026-06-15T15:00:00Z,2026-06-15T14:30:00Z,2026-06-15,32,INTFR,1502
FUELHH,2026-06-15T15:00:00Z,2026-06-15T14:30:00Z,2026-06-15,32,INTGRNL,-512
FUELHH,2026-06-15T15:00:00Z,2026-06-15T14:30:00Z,2026-06-15,32,INTIFA2,992
FUELHH,2026-06-15T15:00:00Z,2026-06-15T14:30:00Z,2026-06-15,32,INTIRL,0
FUELHH,2026-06-15T15:00:00Z,2026-06-15T14:30:00Z,2026-06-15,32,INTNED,1044
FUELHH,2026-06-15T15:00:00Z,2026-06-15T14:30:00Z,2026-06-15,32,INTNEM,814
FUELHH,2026-06-15T15:00:00Z,2026-06-15T14:30:00Z,2026-06-15,32,INTNSL,1396
FUELHH,2026-06-15T15:00:00Z,2026-06-15T14:30:00Z,2026-06-15,32,INTVKL,1426
FUELHH,2026-06-15T15:00:00Z,2026-06-15T14:30:00Z,2026-06-15,32,NPSHYD,248
FUELHH,2026-06-15T15:00:00Z,2026-06-15T14:30:00Z,2026-06-15,32,NUCLEAR,2991
FUELHH,2026-06-15T15:00:00Z,2026-06-15T14:30:00Z,2026-06-15,32,OCGT,3
FUELHH,2026-06-15T15:00:00Z,2026-06-15T14:30:00Z,2026-06-15,32,OIL,0
FUELHH,2026-06-15T15:00:00Z,2026-06-15T14:30:00Z,2026-06-15,32,OTHER,593
FUELHH,2026-06-15T15:00:00Z,2026-06-15T14:30:00Z,2026-06-15,32,PS,-78
FUELHH,2026-06-15T15:00:00Z,2026-06-15T14:30:00Z,2026-06-15,32,WIND,2152
FUELHH,2026-06-15T14:30:00Z,2026-06-15T14:00:00Z,2026-06-15,31,BIOMASS,1373
